Yves Saint Laurent Libre Femme ;Yves Saint Laurent;Eau de Parfum;50 ;75.9
Clinique Aromatics Elixir Femme ;Clinique;Eau de Parfum;45 ;42.9
Victoria's Secret Bare Vanilla  ;Victoria's Secret;Bodyspray;250 ;13.9
Bulgari Goldea Femme ;Bulgari;Eau de Parfum;50 ;49.9
Guess Seductive Noir Femme ;Guess;Eau de Toilette;75 ;24.9
Michael Kors Wonderlust ;Michael Kors;Eau de Parfum;30 ;37.9
Bruno Banani Daring Woman ;Bruno Banani;Eau de Toilette;30 ;15.9
Dolce & Gabbana Dolce Garden ;Dolce & Gabbana;Eau de Parfum;75 ;49.9
Chloé See By Chloé  Eau de Toilette;Chloé;Eau Fraîche;75 ;29.9
Guerlain Insolence Femme ;Guerlain;Eau de Parfum;50 ;44.9
Cacharel Yes I Am ;Cacharel;Eau de Parfum;50 ;49.9
Davidoff Cool Water Sea Rose  ;Davidoff;Eau de Toilette;100 ;25.9
Hugo Boss Femme L'eau Fraîche ;Hugo Boss;Eau de Toilette;30 ;24.9
Hugo Boss The Scent for Her Intense ;Hugo Boss;Eau de Parfum;50 ;39.9
Zadig & Voltaire Just Rock! Pour Elle ;Zadig & Voltaire;Eau de Toilette;30 ;25.9
Abercrombie & Fitch First Instinct Sheer Femme ;Abercrombie & Fitch;Eau de Parfum;30 ;19.9
Abercrombie & Fitch First Instinct Femme ;Abercrombie & Fitch;Eau de Parfum;30 ;19.9
Beyonce Shimmer Heat Femme ;Beyonce;Eau de Parfum;30 ;12.9
Katy Perry Killer Queen's Royal Revolution Femme ;Katy Perry;Eau de Parfum;30 ;9.9
Dolce & Gabbana Dolce Floral Drops Femme ;Dolce & Gabbana;Eau de Toilette;30 ;24.9
James Bond for Women III ;James Bond;Eau de Parfum;30 ;19.9
Escada Agua de Sol ;Escada;Eau de Toilette;50 ;29.9
Jimmy Choo Floral ;Jimmy Choo;Eau de Toilette;60 ;25.9
Zadig & Voltaire Girls can do anything ;Zadig & Voltaire;Eau de Parfum;90 ;49.9
Hollister Wave Femme ;Hollister;Eau de Parfum;30 ;11.9
Bruno Banani Woman's Best ;Bruno Banani;Eau de Toilette;50 ;19.9
Missoni Femme ;Missoni;Eau de Toilette;10 ;6.9
Tommy Hilfiger Tommy Girl  ;Tommy Girl;Bodyspray;200 ;19.9
Dior Hypnotic Poison  ;Dior;Eau de Toilette;100 ;94.9
Lancôme La vie est belle Miniset  4;Lancôme;Eau de Parfum;x 4 ;44.9
Paco Rabanne Lady Million Empire ;Paco Rabanne;Eau de Parfum;50 ;64.9
Carolina Herrera Good Girl ;Carolina Herrera;Eau de Parfum;30 ;49.9
Guerlain Champs Elysees Femme ;Guerlain;Eau de Toilette;50 ;39.9
Guess 1981 Femme  ;Guess;Bodymist;250 ;9.9
Moschino Pink Fresh Couture ;Moschino;Eau de Toilette;50 ;24.9
Britney Spears Intimate Fantasy  ;Britney Spears;Eau de Parfum;100 ;18.9
Christina Aguilera Violet Noir  ;Christina Aguilera;Bodyspray;236 ;7.9
Christina Aguilera Xperience  ;Christina Aguilera;Bodyspray;236 ;7.9
Mexx Life is now FOR HER ;Mexx;Eau de Toilette;50 ;13.9
Zadig & Voltaire Girls can do anything ;Zadig & Voltaire;Eau de Parfum;50 ;44.9
Zadig & Voltaire This is Her ;Zadig & Voltaire;Eau de Parfum;30 ;44.9
Lancôme Idôle ;Lancôme;Eau de Parfum;50 ;74.9
Emporio Armani She ;Emporio Armani;Eau de Parfum;30 ;42.9
Arden Elizabeth Sunflower Sunlit Showers Femme  ;Arden;Eau de Toilette;100 ;19.9
Coach Floral ;Coach;Eau de Parfum;50 ;39.9
Guerlain Mon Guerlain ;Guerlain;Eau de Toilette;30 ;34.9
Gaultier Classique Cabaret  ;Gaultier;Eau de Parfum;100 ;69.9
Thierry Mugler Secret ;Thierry Mugler;Eau de Toilette;50 ;34.9
Versace Dylan Blue pour Femme ;Versace;Eau de Parfum;30 ;44.9
Yves Saint Laurent Mon Paris ;Yves Saint Laurent;Eau de Toilette;50 ;59.9
Dior J'adore ;Dior;Eau de Parfum;50 ;79.9
Katy Perry Indivisible  ;Katy Perry;Eau de Parfum;100 ;19.9
Guerlain Mon Guerlain  ;Guerlain;Eau de Parfum;100 ;84.9
Nina Ricci L'Extase Rose Absolue ;Nina Ricci;Eau de Parfum;80 ;59.9
Dolce & Gabbana Light Blue Sunset in Salina  ;Dolce & Gabbana;Eau de Toilette;100 ;47.9
Guess 1981 Los Angeles  ;Guess;Eau de Toilette;100 ;24.9
Coach Woman ;Coach;Eau de Parfum;30 ;25.9
Gucci Mémoire d'une Odeur ;Gucci;Eau de Parfum;60 ;64.9
Michael Kors Sexy Ruby ;Michael Kors;Eau de Parfum;30 ;29.9
Pepe Jeans London Woman ;Pepe Jeans London;Eau de Parfum;80 ;27.9
Dolce & Gabbana The Only One  50 ml & Mini;Dolce & Gabbana;Eau de Parfum;10 ;69.9
Cabochard Femme ;Cabochard;Eau de Toilette;50 ;15.9
Laura Biagiotti Laura Tender ;Laura Biagiotti;Eau de Toilette;75 ;49.9
Lanvin Rumeur 2 Rose ;Lanvin;Eau de Parfum;30 ;16.9
Cacharel Anaïs Anaïs L'Original ;Cacharel;Eau de Toilette;50 ;29.9
Guerlain Idylle ;Guerlain;Eau de Toilette;50 ;34.9
Cartier Carat ;Cartier;Eau de Parfum;50 ;59.9
Dolce & Gabbana The One Essence ;Dolce & Gabbana;Eau de Parfum;65 ;49.9
Versace Bright Crystal ;Versace;Eau de Toilette;90 ;59.9
Lady Gaga Eau de Gaga ;Lady Gaga;Eau de Parfum;75 ;19.9
Guerlain Insolence Femme  ;Guerlain;Eau de Toilette;100 ;54.9
Lancôme Poême ;Lancôme;Eau de Parfum;30 ;39.9
Gucci Bloom ;Gucci;Eau de Parfum;30 ;49.9
Hugo Boss Ma Vie Pour Femme Florale ;Hugo Boss;Eau de Parfum;50 ;34.9
Jil Sander Simply  Poudrée;Jil Sander;Eau de Parfum;40 ;29.9
Bulgari Eau Parfumée au thé bleu ;Bulgari;Eau de Cologne;75 ;49.9
Guerlain La Petite Robe Noire Ma Robe Pétales ;Guerlain;Eau Fraîche;75 ;39.9
Roberto Cavalli Paradiso Assoluto ;Roberto Cavalli;Eau de Parfum;75 ;34.9
Dior Poison Girl  ;Dior;Eau de Toilette;100 ;84.9
Vera Wang Periwinkle and Iris  ;Vera Wang;Bodymist;240 ;7.9
Vera Wang Marigold and Gardenia  ;Vera Wang;Bodymist;240 ;7.9
Vera Wang French Lavender and Tuberose  ;Vera Wang;Bodymist;240 ;7.9
Ralph Lauren Safari ;Ralph Lauren;Eau de Parfum;75 ;59.9
Dior Miss Dior ;Dior;Eau de Parfum;50 ;85.9
Dior Joy ;Dior;Eau de Parfum;30 ;69.9
Musk Collection Oriental Night Spray Femme  Natural Spray;Musk;Eau de Parfum;50 ;19.9
Roberto Cavalli Florence ;Roberto Cavalli;Eau de Parfum;30 ;24.9
Guerlain Shalimar Souffle Lumière ;Guerlain;Eau de Parfum;50 ;49.9
Jean Paul Gaultier Airlines Classique ;Gaultier;Eau Fraîche;50 ;59.9
Abercrombie & Fitch First Instinct Blue For Her ;Abercrombie & Fitch;Eau de Parfum;50 ;49.9
Guerlain La Petite Robe Noire Intense ;Guerlain;Eau de Parfum;30 ;49.9
Escada Especially Elixir ;Escada;Eau de Parfum;30 ;27.9
Rihanna Nude ;Rihanna;Eau de Parfum;30 ;19.9
Dolce & Gabbana The Only One ;Dolce & Gabbana;Eau de Parfum;50 ;64.9
Clean Warm Cashmere ;Clean;Eau de Parfum;30 ;29.9
Clean Shower Fresh Femme ;Clean;Eau de Parfum;30 ;29.9
Clean Fresh Lines Femme ;Clean;Eau de Parfum;30 ;29.9
Clean Lovegrass Femme ;Clean;Eau de Parfum;30 ;29.9
Dolce & Gabbana Dolce Garden ;Dolce & Gabbana;Eau de Parfum;50 ;54.9
Escada Especially ;Escada;Eau de Parfum;75 ;39.9
Coach Woman ;Coach;Eau de Parfum;50 ;44.9
Naomi Campbell Prêt à porter Silk Collection ;Naomi Campbell;Eau de Toilette;30 ;14.9
Naomi Campbell Prêt à porter ;Naomi Campbell;Eau de Toilette;30 ;14.9
Tommy Girl Weekend Getaway  ;Tommy Girl;Eau de Toilette;100 ;29.9
Elizabeth Arden Sunflowers Femme  100 ml + Bodylotion ;Arden;Eau de Toilette;100 ;17.9
Lancôme Limited Edition La vie est belle ;Lancôme;Eau de Parfum;50 ;69.9
Burberry Her ;Burberry;Eau de Parfum;30 ;39.9
Blue Up Showgirl Women  ;Blue Up;Eau de Parfum;100 ;9.9
Jean Patou Joy ;Jean Patou;Eau de Toilette;30 ;29.9
Dolce & Gabbana The Only One 2 ;Dolce & Gabbana;Eau de Parfum;30 ;47.9
Dolce & Gabbana Light Blue Eau Intense ;Dolce & Gabbana;Eau de Parfum;50 ;54.9
Jil Sander Sun Delight  1;Jil Sander;Eau de Toilette;00 m;29.9
Victoria's Secret Love Addict  ;Victoria's Secret;Bodylotion;236 ;13.9
Victoria's Secret Rush  ;Victoria's Secret;Bodyspray;250 ;13.9
Victoria's Secret Romantic  ;Victoria's Secret;Bodyspray;250 ;13.9
Chopard Brilliant Wish ;Chopard;Eau de Parfum;30 ;19.9
Gucci Flora Generous Violet  ;Gucci;Eau de Toilette;100 ;54.9
Lancôme La vie est belle ;Lancôme;Eau de Parfum;50 ;69.9
Giorgio Armani Sì ;Giorgio;Eau de Parfum;50 ;69.9
Elizabeth Arden My 5th Avenue Femme ;Arden;Eau de Parfum;30 ;19.9
Yves Saint Laurent Libre Femme ;Yves Saint Laurent;Eau de Parfum;50 ;75.9
Clinique Aromatics Elixir Femme ;Clinique;Eau de Parfum;45 ;42.9
Victoria's Secret Bare Vanilla  ;Victoria's Secret;Bodyspray;250 ;13.9
Bulgari Goldea Femme ;Bulgari;Eau de Parfum;50 ;49.9
Guess Seductive Noir Femme ;Guess;Eau de Toilette;75 ;24.9
Michael Kors Wonderlust ;Michael Kors;Eau de Parfum;30 ;37.9
Bruno Banani Daring Woman ;Bruno Banani;Eau de Toilette;30 ;15.9
Dolce & Gabbana Dolce Garden ;Dolce & Gabbana;Eau de Parfum;75 ;49.9
Chloé See By Chloé  Eau de Toilette;Chloé;Eau Fraîche;75 ;29.9
Guerlain Insolence Femme ;Guerlain;Eau de Parfum;50 ;44.9
Cacharel Yes I Am ;Cacharel;Eau de Parfum;50 ;49.9
Davidoff Cool Water Sea Rose  ;Davidoff;Eau de Toilette;100 ;25.9
Hugo Boss Femme L'eau Fraîche ;Hugo Boss;Eau de Toilette;30 ;24.9
Hugo Boss The Scent for Her Intense ;Hugo Boss;Eau de Parfum;50 ;39.9
Zadig & Voltaire Just Rock! Pour Elle ;Zadig & Voltaire;Eau de Toilette;30 ;25.9
Abercrombie & Fitch First Instinct Sheer Femme ;Abercrombie & Fitch;Eau de Parfum;30 ;19.9
Abercrombie & Fitch First Instinct Femme ;Abercrombie & Fitch;Eau de Parfum;30 ;19.9
Beyonce Shimmer Heat Femme ;Beyonce;Eau de Parfum;30 ;12.9
Katy Perry Killer Queen's Royal Revolution Femme ;Katy Perry;Eau de Parfum;30 ;9.9
Dolce & Gabbana Dolce Floral Drops Femme ;Dolce & Gabbana;Eau de Toilette;30 ;24.9
James Bond for Women III ;James Bond;Eau de Parfum;30 ;19.9
Escada Agua de Sol ;Escada;Eau de Toilette;50 ;29.9
Jimmy Choo Floral ;Jimmy Choo;Eau de Toilette;60 ;25.9
Zadig & Voltaire Girls can do anything ;Zadig & Voltaire;Eau de Parfum;90 ;49.9
Giorgio Armani Sì Passione ;Giorgio;Eau de Parfum;50 ;69.9
Lacoste Touch Of Pink ;Lacoste;Eau de Toilette;30 ;23.9
Cerruti 1881 pour femme  ;Cerruti;Eau de Toilette;100 ;29.9
Lancôme Trésor ;Lancôme;Eau de Parfum;30 ;49.9
Hugo Boss The Scent For Her ;Hugo Boss;Eau de Parfum;50 ;59.9
Jean Paul Gaultier Scandal ;Gaultier;Eau de Parfum;50 ;64.9
Thierry Mugler Alien ;Thierry Mugler;Eau de Parfum;60 ;64.9
Lancôme La vie est belle L'Éclat ;Lancôme;Eau de Parfum;75 ;89.9
Lancôme La Nuit Trésor ;Lancôme;Eau de Parfum;50 ;69.9
Yves Saint Laurent Black Opium ;Yves Saint Laurent;Eau de Parfum;50 ;74.9
Hugo Boss Deep Red Femme ;Hugo Boss;Eau de Parfum;50 ;49.9
Yves Saint Laurent Opium Femme ;Yves Saint Laurent;Eau de Toilette;50 ;64.9
Thierry Mugler Alien ;Thierry Mugler;Eau de Parfum;30 ;54.9
Lacoste Pour Femme ;Lacoste;Eau de Parfum;50 ;49.9
Burberry For Women ;Burberry;Eau de Parfum;50 ;34.9
Dolce & Gabbana Light Blue ;Dolce & Gabbana;Eau de Toilette;50 ;49.9
Kenzo Flower By Kenzo ;Kenzo;Eau de Parfum;30 ;34.9
Nina Ricci L'air du temps ;Nina Ricci;Eau de Toilette;50 ;39.9
Laura Biagiotti Laura ;Laura Biagiotti;Eau de Toilette;75 ;39.9
Giorgio Armani Acqua di Gioia ;Giorgio;Eau de Parfum;30 ;39.9
Dior J'adore ;Dior;Eau de Toilette;50 ;64.9
Chopard Wish ;Chopard;Eau de Parfum;75 ;39.9
Paco Rabanne Lady Million ;Paco Rabanne;Eau de Parfum;50 ;54.9
Guess Seductive ;Guess;Eau de Toilette;75 ;34.9
Bulgari Omnia Crystalline ;Bulgari;Eau de Toilette;40 ;35.9
Prada Amber ;Prada;Eau de Parfum;50 ;69.9
Narciso Rodriguez Rouge ;Narciso Rodriguez;Eau de Parfum;50 ;69.9
Gucci Bloom Acqua di Fiori ;Gucci;Eau de Toilette;50 ;69.9
Versace Bright Crystal Absolu ;Versace;Eau de Parfum;90 ;59.9
Jil Sander No. 4  ;Jil Sander;Eau de Parfum;100 ;49.9
Chloé Nomade ;Chloé;Eau de Parfum;50 ;64.9
Dior J'adore  ;Dior;Eau de Toilette;100 ;99
Elizabeth Arden Red Door Shimmer Femme  ;Arden;Eau de Parfum;100 ;29.9
Lanvin Arpège  ;Lanvin;Eau de Parfum;100 ;34.9
Estée Lauder Pleasures Femme ;Estée Lauder;Eau de Parfum;30 ;34.9
Hugo Boss Femme ;Hugo Boss;Eau de Parfum;75 ;42.9
Dior J'adore in Joy  ;Dior;Eau de Toilette;100 ;99
